goodreads_book_id,tag_name,count
1;-;167697
1;--1-;37174
1;--10-;34173
1;--12-;12986
1;--122-;12716
1;--166-;9954
1;--17-;7169
1;--19-;6221
1;--2-;4974
1;--258-;4364
1;--3-;3857
1;--33-;3456
1;--4-;3374
1;--5-;2408
1;--51-;1881
1;--6-;1821
1;--62-;1742
1;--8-;1560
1;--99-;1309
1;--available-at-raspberrys--;1095
1;-2001--;1093
1;-calif--;1027
1;-d-c--;1022
1;-dean;987
1;-england-;984
1;-fiction;958
1;-fictional;858
1;-fictitious;853
1;-football-;836
1;-george;828
1;-gr-;798
1;-history;792
1;-imaginary;748
1;-italy-;744
1;-la--;738
1;-los;730
1;-mass--;718
1;-murder-;701
1;-n-y--;673
1;-non-poetry-;659
1;-performing;653
1;-post;612
1;-psychology-;600
1;-read;552
1;-single;552
1;-specific;547
1;-television;534
1;0;532
1;0-0-0-0cant-find;522
1;0-0-bingo;505
1;0-4-star-rating;484
1;0-a-find-2016-summer-00;474
1;0-all2;465
1;0-best-picture-younger;464
1;0-boxed;450
1;0-c;449
1;0-eric-s-books;446
1;0-house-lbkc;445
1;0-kindle;440
1;0-love-funny;433
1;0-made-me-cry-moved-me;416
1;0-nonfiction;410
1;0-owned;399
1;0-paperback;392
1;0-pgs-200-to-299;386
1;0-physical-own;384
1;0-plays;368
1;0-plc;364
1;0-tbr-axz-usa;354
1;00-exploring-1;351
1;00-graphic-novels-read;348
1;00-in-class;347
1;00-to-read-00;338
1;00-to-read-02;334
1;0000;324
1;0000-to-buy;324
1;00000;314
1;0000_notverified;312
1;000src-su-25-11-3-x;305
1;000src-w-15-01-i-me-mine;300
1;001-150-pages;297
1;001-ebook;294
1;002-read-cookbook;294
1;002-une-bonne-selection;289
1;007;284
1;008-strategy;283
1;01;281
1;01-alphabet-authors;281
1;01-distopias;279
1;01-ecookbooks;279
1;01-folklore;276
1;01-irl-bookshelf-comics;274
1;01-mine;273
1;01-words;272
1;016-sam-j-miller;268
1;01_best-books;266
1;02-500-750;265
1;02-black-exp;264
1;02-fantasy;263
1;02-folklore;258
2;02-to-read-speculative-fiction;24549
2;02-words-sb;3516
2;0201-0300-pages;3441
2;029-نجيب-محفوظ;3423
2;03-20thcentury-american-lit;1591
2;03-classic-fairy;1098
2;03-classic-fairy-tales;981
2;03-informational;975
2;03-sami-lukematta;972
2;03-star;865
2;03-words-sc;851
2;04-babies-and-toddlers;812
2;04-caldecott;764
2;04-easy-to-read-books;756
2;04-preschoolers;744
2;04-realistic-fiction;739
2;04-star;734
2;04-stars;706
2;0471239720;688
2;05-high-fantasy;621
2;05ip9hg;617
2;06-not-my-kind-of-book;613
2;06-traditional;566
2;07-hist-fiction;562
2;07-modern-fantasy;525
2;07-まんが-ほか;519
