book_id,rating
1,22806
2,21850
3,16931
4,19088
5,16604
6,11264
7,15558
8,14472
9,13451
10,13445
11,12698
12,11780
13,14693
14,14328
15,12101
16,14382
17,16549
18,15855
19,12530
20,15953
21,15258
22,11677
23,15657
24,15523
25,15304
26,13072
27,15081
28,13556
29,11578
30,12105
31,12727
32,11921
33,11304
34,7724
35,8916
36,10949
37,13089
38,9977
39,10692
40,7885
41,7606
42,10649
43,10308
44,6717
45,10175
46,10361
47,10394
48,10312
49,9712
50,8297
51,6504
52,9620
53,7040
54,9960
55,9612
56,9433
57,8383
58,9323
59,9391
60,9035
61,9090
62,8192
63,9584
64,7192
65,8179
66,7714
67,7662
68,5990
69,8263
70,8849
71,7727
72,6861
73,6313
74,4682
75,6229
76,7110
77,6039
78,4723
79,6301
80,6848
81,5847
82,4921
83,6592
84,6601
85,7002
86,5844
87,6466
88,4247
89,6102
90,6190
91,5014
92,4658
93,7626
94,5492
95,6406
96,4185
97,6615
98,7563
99,4452
100,6343
101,5199
102,6401
103,5489
104,6779
105,6300
106,5346
107,3760
108,3792
109,4750
110,6854
111,5257
112,5897
113,6944
114,5467
115,5615
116,7214
117,8109
118,6212
119,7543
120,4180
121,5274
122,6598
123,6135
124,5554
125,6899
126,5864
127,3709
128,1731
129,6307
130,6273
131,7458
132,5495
133,6536
134,4451
135,6237
136,5326
137,5297
138,7667
139,4868
140,6702
141,5408
142,5672
143,6082
144,4577
145,4405
146,5275
147,3186
148,5171
149,3512
150,5358
151,4056
152,2746
153,4415
154,6421
155,6478
156,2877
157,5249
158,6034
159,4021
160,6305
161,6331
162,4841
163,3128
164,3756
165,5705
166,3538
167,5681
168,5973
169,2471
170,4041
171,5602
172,5073
173,5076
174,3559
175,3881
176,4853
177,4679
178,5178
179,5302
180,4610
181,4467
182,3067
183,3366
184,4810
185,5154
186,4759
187,3600
188,5086
189,5316
190,3998
191,3825
192,3948
193,3428
194,4034
195,4904
196,3917
197,4409
198,5531
199,3412
200,4011
201,4213
202,2601
203,2487
204,5006
205,5764
206,2903
207,3365
208,3777
209,3480
210,3125
211,3371
212,5052
213,4463
214,3717
215,4239
216,3889
217,4606
218,2048
219,5306
220,1818
221,2834
222,3091
223,3851
224,2541
225,4576
226,3950
227,4260
228,3331
229,4722
230,4274
231,3995
232,4229
233,4459
234,2854
235,4003
236,3479
